iter	MultiClass
0	1.055952618
1	1.017591644
2	0.9856567664
3	0.9586914037
4	0.9339885916
5	0.91339495
6	0.896176602
7	0.8817857275
8	0.8681764961
9	0.8577716662
10	0.8473737688
11	0.8372996565
12	0.8296466509
13	0.8225843192
14	0.8165396215
15	0.8103932098
16	0.806237671
17	0.8003583087
18	0.7958126494
19	0.7917214589
20	0.7870580474
21	0.7845734957
22	0.7818166178
23	0.7785115581
24	0.7760780114
25	0.77329421
26	0.7706514406
27	0.7679285412
28	0.7661346106
29	0.7646297003
30	0.7630412192
31	0.7611085848
32	0.759246793
33	0.7580861051
34	0.7566802802
35	0.7550219325
36	0.7531138099
37	0.7514931045
38	0.750303085
39	0.7488534611
40	0.747833611
41	0.7459668546
42	0.7449617126
43	0.7434956617
44	0.7422282968
45	0.7409713072
46	0.7396900178
47	0.7385650304
48	0.7373034437
49	0.7361681753
50	0.735641095
51	0.734714082
52	0.7337295507
53	0.7325673615
54	0.7317533849
55	0.7312376159
56	0.7303025752
57	0.7299227294
58	0.7291008773
59	0.728385729
60	0.7274921971
61	0.7265265815
62	0.7261988286
63	0.725521327
64	0.7245658311
65	0.7236051106
66	0.7228070234
67	0.7219027043
68	0.7212331153
69	0.7205029211
70	0.7200186865
71	0.7192529833
72	0.7181014133
73	0.717112478
74	0.7161787853
75	0.7156414343
76	0.7151165643
77	0.7147051815
78	0.7139571426
79	0.7133786715
80	0.7128802968
81	0.7120449487
82	0.7113738243
83	0.710567261
84	0.7097418727
85	0.7090951118
86	0.7088112708
87	0.7081070945
88	0.7075365129
89	0.7065961013
90	0.7061745059
91	0.7055045527
92	0.7049660228
93	0.7042194768
94	0.703427916
95	0.7027369965
96	0.7021563868
97	0.7015120001
98	0.7004619087
99	0.699401727
100	0.6989558714
101	0.6984344029
102	0.697739766
103	0.6971982621
104	0.6964426475
105	0.6957225293
106	0.6953905006
107	0.6946854079
108	0.6939424786
109	0.6935980272
110	0.6929521363
111	0.6925766935
112	0.6920388457
113	0.6915483925
114	0.6908210984
115	0.6902579826
116	0.6897795489
117	0.6888748574
118	0.6880058937
119	0.6873303571
120	0.6868622318
121	0.686314966
122	0.6859502588
123	0.6851838586
124	0.6843990731
125	0.6838916292
126	0.6830118007
127	0.6825517277
128	0.6818934311
129	0.6812478418
130	0.6806850977
131	0.6803198206
132	0.6801041106
133	0.6793324205
134	0.6784669686
135	0.677901923
136	0.6771626378
137	0.6766137466
138	0.6761843179
139	0.6756541537
140	0.6750117462
141	0.6745894442
142	0.674244682
143	0.673503144
144	0.6729126551
145	0.6720869062
146	0.6714451204
147	0.670937845
148	0.6702806104
149	0.669853956
150	0.6690811448
151	0.6683304232
152	0.6678260009
153	0.6673671854
154	0.6669107208
155	0.6661247827
156	0.6653611531
157	0.6645464335
158	0.6642811442
159	0.6638716326
160	0.6635077003
161	0.6627445691
162	0.6623301505
163	0.6619686971
164	0.6615789285
165	0.6607313989
166	0.6604243493
167	0.6595705105
168	0.658714679
169	0.65830423
170	0.65785769
171	0.6572746086
172	0.6570335352
173	0.656216116
174	0.6557011487
175	0.655243056
176	0.654806454
177	0.6542861963
178	0.6541220054
179	0.6535616039
180	0.6531679361
181	0.6524879658
182	0.6516628294
183	0.6506271463
184	0.6502541493
185	0.6496315899
186	0.6492232677
187	0.648697276
188	0.6485157355
189	0.6480396777
190	0.6476131815
191	0.6472193378
192	0.6466747379
193	0.6461519468
194	0.6456724168
195	0.64504246
196	0.6446241862
197	0.6442922759
198	0.6434851577
199	0.6428450553
200	0.6423560325
201	0.6415786609
202	0.6411471283
203	0.6404872921
204	0.6396598329
205	0.6387718495
206	0.6384749414
207	0.637649013
208	0.6366914729
209	0.6363864346
210	0.6361770281
211	0.6358733352
212	0.6351464659
213	0.6348069049
214	0.634359812
215	0.6340713811
216	0.6331462494
217	0.6327346528
218	0.6320865945
219	0.6317400904
220	0.6314076523
221	0.6310125375
222	0.6305068987
223	0.6302351991
224	0.6298064466
225	0.6291341535
226	0.6289038646
227	0.6284430806
228	0.6280846874
229	0.6278070791
230	0.6272747751
231	0.627000503
232	0.6262889209
233	0.6259724786
234	0.6254107451
235	0.6249370256
236	0.6245469654
237	0.6242369054
238	0.623194136
239	0.6224648442
240	0.6220907736
241	0.6215246294
242	0.6212284154
243	0.6206750773
244	0.6204205602
245	0.6201042696
246	0.6197934286
247	0.6195002826
248	0.6191100158
249	0.6183908407
250	0.6178203556
251	0.6171786095
252	0.6167346097
253	0.6162182708
254	0.6159770238
255	0.6156407804
256	0.6149525962
257	0.6143855686
258	0.613962699
259	0.6136758719
260	0.612798036
261	0.6122580583
262	0.6117530751
263	0.6115140729
264	0.6107988156
265	0.6103981839
266	0.6096470041
267	0.6087372964
268	0.6082237111
269	0.6077514984
270	0.607137495
271	0.6067165711
272	0.6062808154
273	0.6056870032
274	0.6048591616
275	0.6044214269
276	0.6040145867
277	0.6035846916
278	0.6031861737
279	0.6029074728
280	0.6023482413
281	0.6020048018
282	0.6014896617
283	0.6009284975
284	0.6005579838
285	0.600298713
286	0.6000532925
287	0.5995480428
288	0.5990111836
289	0.5987010603
290	0.5983771854
291	0.5980001581
292	0.5977948949
293	0.5971227256
294	0.5966942016
295	0.5960744257
296	0.5957762581
297	0.5955166088
298	0.5948745993
299	0.5943186221
300	0.5938145037
301	0.5934531941
302	0.5926911794
303	0.5923753701
304	0.5919253266
305	0.5910979672
306	0.5902135331
307	0.5893171889
308	0.5889416303
309	0.5884710947
310	0.5881412943
