iter	Passed	Remaining
0	3	3079
1	5	2618
2	7	2479
3	9	2357
4	11	2360
5	13	2315
6	16	2371
7	18	2325
8	20	2305
9	22	2272
10	25	2263
11	27	2261
12	29	2256
13	32	2261
14	34	2255
15	36	2262
16	39	2301
17	42	2335
18	45	2335
19	47	2317
20	49	2304
21	51	2287
22	53	2276
23	56	2283
24	58	2276
25	60	2279
26	62	2269
27	65	2262
28	67	2253
29	69	2243
30	71	2231
31	73	2222
32	75	2210
33	77	2197
34	79	2190
35	82	2201
36	84	2195
37	86	2199
38	89	2195
39	91	2186
40	93	2176
41	95	2167
42	97	2171
43	99	2160
44	101	2150
45	103	2140
46	105	2130
47	106	2120
48	108	2112
49	110	2105
50	113	2102
51	115	2097
52	117	2091
53	118	2084
54	121	2080
55	123	2074
56	124	2067
57	127	2075
58	129	2070
59	131	2062
60	133	2054
61	135	2051
62	137	2043
63	139	2041
64	142	2044
65	144	2039
66	145	2031
67	147	2028
68	149	2023
69	151	2018
70	153	2011
71	156	2010
72	157	2005
73	159	2000
74	161	1995
75	163	1993
76	165	1986
77	167	1985
78	170	1983
79	172	1981
80	174	1982
81	176	1978
82	178	1976
83	181	1976
84	184	1981
85	186	1979
86	188	1975
87	190	1976
88	192	1972
89	194	1970
90	197	1971
91	199	1972
92	202	1970
93	204	1968
94	206	1967
95	208	1962
96	210	1958
97	212	1958
98	214	1953
99	216	1952
100	218	1948
101	220	1944
102	222	1939
103	224	1937
104	227	1936
105	229	1932
106	231	1928
107	232	1923
108	234	1919
109	236	1916
110	239	1914
111	241	1913
112	243	1910
113	245	1905
114	247	1902
115	249	1899
116	251	1895
117	252	1891
118	254	1887
119	257	1884
120	259	1881
121	260	1877
122	262	1872
123	264	1868
124	266	1865
125	268	1863
126	270	1862
127	273	1860
128	275	1857
129	277	1853
130	278	1849
131	280	1846
132	282	1842
133	284	1840
134	286	1836
135	288	1832
136	290	1828
137	292	1825
138	294	1822
139	296	1819
140	298	1816
141	300	1813
142	302	1810
143	303	1806
144	306	1804
145	308	1802
146	310	1800
147	312	1797
148	314	1794
149	316	1791
150	318	1788
151	320	1785
152	322	1783
153	324	1780
154	325	1776
155	327	1772
156	329	1771
157	331	1768
158	333	1765
159	335	1762
160	337	1759
161	339	1756
162	341	1753
163	343	1752
164	345	1749
165	347	1747
166	349	1745
167	351	1742
168	353	1739
169	355	1736
170	357	1733
171	359	1731
172	362	1731
173	364	1728
174	366	1725
175	368	1723
176	370	1720
177	372	1719
178	374	1717
179	376	1714
180	378	1713
181	380	1710
182	382	1707
183	384	1704
184	386	1701
185	389	1703
186	392	1705
187	394	1704
188	396	1702
189	398	1700
190	400	1697
191	403	1698
